Date,Team,xG,xA,xPTS,match_or_not
15/01/2022,Manchester City,0.90,0.61,1.56,1
15/01/2022,Aston Villa,1.83,1.35,1.75,1
15/01/2022,Manchester United,1.35,1.83,0.99,1
15/01/2022,Newcastle United,1.04,1.50,1.00,1
15/01/2022,Watford,1.50,1.04,1.73,1
15/01/2022,Everton,0.54,1.00,0.82,1
15/01/2022,Chelsea,0.61,0.90,1.06,1
15/01/2022,Southampton,0.92,2.30,0.38,1
16/01/2022,Liverpool,3.49,0.38,2.90,1
16/01/2022,Leeds,2.27,2.35,1.30,1
16/01/2022,West Ham,2.35,2.27,1.43,1
16/01/2022,Brentford,0.38,3.49,0.06,1
18/01/2022,Chelsea,0.57,0.75,1.12,1
18/01/2022,Brighton,0.75,0.57,1.50,1
19/01/2022,Manchester United,2.06,2.08,1.38,1
19/01/2022,Tottenham,4.25,1.95,2.59,1
19/01/2022,Leicester,1.95,4.25,0.31,1
19/01/2022,Brentford,2.08,2.06,1.38,1
21/01/2022,Norwich,0.93,1.31,1.03,1
21/01/2022,Watford,1.31,0.93,1.65,1
22/01/2022,Wolverhampton Wanderers,0.22,0.74,0.74,1
22/01/2022,Aston Villa,0.86,1.24,1.01,1
22/01/2022,Newcastle United,1.16,1.13,1.35,1
22/01/2022,Manchester United,1.76,0.24,2.74,1
22/01/2022,Southampton,1.00,1.63,0.85,1
22/01/2022,Manchester City,1.63,1.00,1.86,1
22/01/2022,Brentford,0.74,0.22,1.82,1
22/01/2022,Everton,1.24,0.86,1.68,1
22/01/2022,West Ham,0.24,1.76,0.15,1
22/01/2022,Leeds,1.13,1.16,1.34,1
23/01/2022,Liverpool,1.50,1.63,1.23,1
23/01/2022,Chelsea,1.04,0.33,2.00,1
23/01/2022,Leicester,1.71,1.20,1.80,1
23/01/2022,Brighton,1.20,1.71,0.93,1
23/01/2022,Arsenal,1.36,0.39,2.17,1
23/01/2022,Burnley,0.39,1.36,0.56,1
23/01/2022,Crystal Palace,1.63,1.50,1.48,1
23/01/2022,Tottenham,0.33,1.04,0.67,1
05/02/2022,Watford,0.93,0.77,1.48,1
05/02/2022,Burnley,0.77,0.93,1.18,1
08/02/2022,Newcastle United,2.69,0.82,2.62,1
08/02/2022,West Ham,0.91,0.34,1.96,1
08/02/2022,Manchester United,1.83,0.77,2.18,1
08/02/2022,Burnley,0.77,1.83,0.59,1
08/02/2022,Watford,0.34,0.91,0.68,1
08/02/2022,Everton,0.82,2.69,0.25,1
09/02/2022,Manchester City,1.98,0.46,2.55,1
09/02/2022,Southampton,1.73,1.74,1.34,1
09/02/2022,Aston Villa,1.50,2.53,0.65,1
09/02/2022,Leeds,2.53,1.50,2.14,1
09/02/2022,Crystal Palace,1.23,0.30,2.34,1
09/02/2022,Norwich,0.30,1.23,0.41,1
09/02/2022,Tottenham,1.74,1.73,1.39,1
09/02/2022,Brentford,0.46,1.98,0.29,1
10/02/2022,Liverpool,2.73,0.54,2.72,1
10/02/2022,Arsenal,1.45,0.64,2.19,1
10/02/2022,Wolverhampton Wanderers,0.64,1.45,0.56,1
10/02/2022,Leicester,0.54,2.73,0.18,1
12/02/2022,Manchester City,4.45,0.36,2.99,1
12/02/2022,Everton,2.59,0.24,2.87,1
12/02/2022,Brighton,1.80,0.53,2.46,1
12/02/2022,Southampton,0.68,2.99,0.14,1
12/02/2022,Manchester United,2.99,0.68,2.79,1
12/02/2022,Crystal Palace,0.50,1.98,0.28,1
12/02/2022,Brentford,1.98,0.50,2.56,1
12/02/2022,Watford,0.53,1.80,0.36,1
12/02/2022,Leeds,0.24,2.59,0.08,1
12/02/2022,Norwich,0.36,4.45,0.01,1
13/02/2022,Wolverhampton Wanderers,1.87,0.84,2.25,1
13/02/2022,Newcastle United,0.53,0.46,1.34,1
13/02/2022,Liverpool,1.96,1.16,2.12,1
13/02/2022,Leicester,1.41,0.75,1.95,1
13/02/2022,West Ham,0.75,1.41,0.76,1
13/02/2022,Aston Villa,0.46,0.53,1.19,1
13/02/2022,Burnley,1.16,1.96,0.61,1
13/02/2022,Tottenham,0.84,1.87,0.54,1
15/02/2022,Manchester United,2.75,1.26,2.32,1
15/02/2022,Brighton,1.26,2.75,0.50,1
19/02/2022,Burnley,0.82,0.45,1.70,1
19/02/2022,Liverpool,3.15,0.67,2.75,1
19/02/2022,Southampton,2.73,0.20,2.89,1
19/02/2022,Tottenham,2.00,2.32,1.17,1
19/02/2022,Arsenal,1.52,0.64,2.07,1
19/02/2022,Chelsea,1.12,0.62,1.84,1
19/02/2022,Watford,1.82,1.03,2.05,1
19/02/2022,West Ham,0.85,0.93,1.24,1
19/02/2022,Newcastle United,0.93,0.85,1.43,1
19/02/2022,Manchester City,2.32,2.00,1.58,1
19/02/2022,Brentford,0.64,1.52,0.66,1
19/02/2022,Aston Villa,1.03,1.82,0.71,1
19/02/2022,Crystal Palace,0.62,1.12,0.84,1
19/02/2022,Norwich,0.67,3.15,0.17,1
19/02/2022,Everton,0.20,2.73,0.07,1
19/02/2022,Brighton,0.45,0.82,0.91,1
20/02/2022,Manchester United,2.61,1.74,1.98,1
20/02/2022,Wolverhampton Wanderers,0.47,1.55,0.41,1
20/02/2022,Leicester,1.55,0.47,2.39,1
20/02/2022,Leeds,1.74,2.61,0.81,1
23/02/2022,Liverpool,5.33,0.14,3.00,1
23/02/2022,Crystal Palace,0.82,1.72,0.60,1
23/02/2022,Burnley,1.56,0.69,2.15,1
23/02/2022,Tottenham,0.69,1.56,0.61,1
23/02/2022,Watford,1.72,0.82,2.17,1
23/02/2022,Leeds,0.14,5.33,0.00,1
24/02/2022,Arsenal,2.51,1.11,2.28,1
24/02/2022,Wolverhampton Wanderers,1.11,2.51,0.54,1
25/02/2022,Southampton,3.09,0.42,2.86,1
25/02/2022,Norwich,0.42,3.09,0.08,1
26/02/2022,Tottenham,2.47,1.90,1.77,1
26/02/2022,Aston Villa,1.30,0.63,2.01,1
26/02/2022,Newcastle United,2.25,0.49,2.55,1
